Profit Ratio	Category	City	Country	Customer ID	Customer Name	Discount	레코드 수	Order Date	Order ID	Postal Code	Product ID	Manufacturer	Product Name	Profit	Quantity	Region	Row ID	Sales	Segment	Ship Date	Ship Mode	State	Sub-Category
46%	Office Supplies	Washington	United States	TB-21280	Toby Braunhardt	0	1	2018. 5. 26.	CA-2018-157266	20016	OFF-BI-10004728	Wilson Jones	Wilson Jones Turn Tabs Binder Tool for Ring Binders	$4	2	East	1640	$10	Consumer	2018. 6. 1.	Standard Class	District of Columbia	Binders
46%	Office Supplies	Washington	United States	TB-21280	Toby Braunhardt	0	1	2018. 5. 26.	CA-2018-157266	20016	OFF-PA-10004675	Other	"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""	$6	2	East	1641	$13	Consumer	2018. 6. 1.	Standard Class	District of Columbia	Paper
42%	Furniture	Washington	United States	TB-21280	Toby Braunhardt	0	1	2018. 5. 26.	CA-2018-157266	20016	FUR-FU-10000629	Other	9-3/4 Diameter Round Wall Clock	$17	3	East	1642	$41	Consumer	2018. 6. 1.	Standard Class	District of Columbia	Furnishings
31%	Office Supplies	Skokie	United States	BS-11380	Bill Stewart	0.2	1	2016. 11. 29.	US-2016-134712	60076	OFF-FA-10003112	Other	Staples	$4	2	Central	1643	$13	Corporate	2016. 12. 4.	Standard Class	Illinois	Fasteners
28%	Office Supplies	Seattle	United States	FH-14365	Fred Hopkins	0	1	2017. 3. 19.	CA-2017-111829	98115	OFF-ST-10000142	Other	Deluxe Rollaway Locking File with Drawer	$349	3	West	1644	$1,248	Corporate	2017. 3. 20.	First Class	Washington	Storage
47%	Technology	Seattle	United States	FH-14365	Fred Hopkins	0	1	2017. 3. 19.	CA-2017-111829	98115	TEC-CO-10001766	Canon	Canon PC940 Copier	$1,480	7	West	1645	$3,150	Corporate	2017. 3. 20.	First Class	Washington	Copiers
48%	Office Supplies	Seattle	United States	FH-14365	Fred Hopkins	0	1	2017. 3. 19.	CA-2017-111829	98115	OFF-PA-10004359	Other	Multicolor Computer Printout Paper	$101	2	West	1646	$210	Corporate	2017. 3. 20.	First Class	Washington	Paper
-9%	Technology	Philadelphia	United States	VM-21685	Valerie Mitchum	0.2	1	2017. 11. 1.	CA-2017-105221	19140	TEC-AC-10002323	SanDisk	SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card	-$3	2	East	1647	$35	Home Office	2017. 11. 3.	First Class	Pennsylvania	Accessories
-23%	Office Supplies	Philadelphia	United States	VM-21685	Valerie Mitchum	0.2	1	2017. 11. 1.	CA-2017-105221	19140	OFF-FA-10001135	Other	Brites Rubber Bands, 1 1/2 oz. Box	-$1	2	East	1648	$3	Home Office	2017. 11. 3.	First Class	Pennsylvania	Fasteners
-83%	Office Supplies	Philadelphia	United States	SF-20200	Sarah Foster	0.7	1	2017. 9. 26.	CA-2017-120341	19143	OFF-BI-10004224	Other	Catalog Binders with Expanding Posts	-$101	6	East	1649	$121	Consumer	2017. 9. 29.	Second Class	Pennsylvania	Binders
-20%	Technology	Philadelphia	United States	SF-20200	Sarah Foster	0.4	1	2017. 9. 26.	CA-2017-120341	19143	TEC-PH-10003357	Grandstream	Grandstream GXP2100 Mainstream Business Phone	-$9	1	East	1650	$46	Consumer	2017. 9. 29.	Second Class	Pennsylvania	Phones
49%	Office Supplies	San Francisco	United States	HH-15010	Hilary Holden	0	1	2016. 8. 29.	CA-2016-135699	94110	OFF-PA-10004475	Xerox	Xerox 1940	$54	2	West	1651	$110	Corporate	2016. 8. 29.	Same Day	California	Paper
48%	Office Supplies	San Francisco	United States	HH-15010	Hilary Holden	0	1	2016. 8. 29.	CA-2016-135699	94110	OFF-PA-10003001	Xerox	Xerox 1986	$6	2	West	1652	$13	Corporate	2016. 8. 29.	Same Day	California	Paper
27%	Office Supplies	Seattle	United States	CD-12280	Christina DeMoss	0	1	2019. 11. 18.	US-2019-132444	98105	OFF-ST-10003442	Eldon	Eldon Portable Mobile Manager	$46	6	West	1653	$170	Consumer	2019. 11. 21.	First Class	Washington	Storage
41%	Technology	Seattle	United States	CD-12280	Christina DeMoss	0	1	2019. 11. 18.	US-2019-132444	98105	TEC-AC-10003832	Imation	Imation 16GB Mini TravelDrive USB 2.0 Flash Drive	$54	4	West	1654	$133	Consumer	2019. 11. 21.	First Class	Washington	Accessories
48%	Office Supplies	Seattle	United States	CD-12280	Christina DeMoss	0	1	2019. 11. 18.	US-2019-132444	98105	OFF-FA-10000611	OIC	Binder Clips by OIC	$1	2	West	1655	$3	Consumer	2019. 11. 21.	First Class	Washington	Fasteners
35%	Office Supplies	Seattle	United States	CD-12280	Christina DeMoss	0.2	1	2019. 11. 18.	US-2019-132444	98105	OFF-BI-10001116	Wilson Jones	"Wilson Jones 1"" Hanging DublLock Ring Binders"	$3	2	West	1656	$8	Consumer	2019. 11. 21.	First Class	Washington	Binders
10%	Office Supplies	Seattle	United States	CD-12280	Christina DeMoss	0	1	2019. 11. 18.	US-2019-132444	98105	OFF-ST-10000563	Fellowes	Fellowes Bankers Box Stor/Drawer Steel Plus	$10	3	West	1657	$96	Consumer	2019. 11. 21.	First Class	Washington	Storage
31%	Furniture	Milwaukee	United States	HL-15040	Hunter Lopez	0	1	2016. 5. 12.	CA-2016-127159	53209	FUR-FU-10000010	DAX	DAX Value U-Channel Document Frames, Easel Back	$11	7	Central	1658	$35	Consumer	2016. 5. 15.	First Class	Wisconsin	Furnishings
6%	Technology	Los Angeles	United States	TH-21100	Thea Hendricks	0.2	1	2019. 1. 20.	CA-2019-161809	90045	TEC-PH-10004922	RCA	RCA Visys Integrated PBX 8-Line Router	$10	3	West	1659	$161	Consumer	2019. 1. 26.	Standard Class	California	Phones
31%	Office Supplies	Seattle	United States	MM-18055	Michelle Moray	0.2	1	2019. 10. 30.	CA-2019-127285	98115	OFF-BI-10004330	GBC	GBC Velobind Prepunched Cover Sets, Regency Series	$28	3	West	1660	$89	Consumer	2019. 11. 6.	Standard Class	Washington	Binders
38%	Office Supplies	Seattle	United States	MM-18055	Michelle Moray	0.2	1	2019. 10. 30.	CA-2019-127285	98115	OFF-BI-10002072	Cardinal	Cardinal Slant-D Ring Binders	$5	2	West	1661	$14	Consumer	2019. 11. 6.	Standard Class	Washington	Binders
-23%	Technology	Philadelphia	United States	QJ-19255	Quincy Jones	0.4	1	2019. 4. 30.	CA-2019-144526	19143	TEC-PH-10002549	Polycom	Polycom SoundPoint IP 450 VoIP phone	-$158	5	East	1662	$678	Corporate	2019. 5. 6.	Standard Class	Pennsylvania	Phones
-67%	Office Supplies	Philadelphia	United States	QJ-19255	Quincy Jones	0.7	1	2019. 4. 30.	CA-2019-144526	19143	OFF-BI-10002353	GBC	GBC VeloBind Cover Sets	-$9	3	East	1663	$14	Corporate	2019. 5. 6.	Standard Class	Pennsylvania	Binders
9%	Office Supplies	Dallas	United States	NS-18505	Neola Schneider	0.2	1	2018. 11. 24.	CA-2018-128531	75217	OFF-ST-10001325	Sterilite	Sterilite Officeware Hinged File Box	$4	5	Central	1664	$42	Consumer	2018. 11. 26.	Second Class	Texas	Storage
-3%	Technology	Dallas	United States	NS-18505	Neola Schneider	0.2	1	2018. 11. 24.	CA-2018-128531	75217	TEC-AC-10002049	Logitech	Logitech G19 Programmable Gaming Keyboard	-$7	3	Central	1665	$298	Consumer	2018. 11. 26.	Second Class	Texas	Accessories
20%	Office Supplies	Dallas	United States	NS-18505	Neola Schneider	0.2	1	2018. 11. 24.	CA-2018-128531	75217	OFF-FA-10002676	Other	Colored Push Pins	$1	3	Central	1666	$4	Consumer	2018. 11. 26.	Second Class	Texas	Fasteners
-3%	Technology	Dallas	United States	NS-18505	Neola Schneider	0.2	1	2018. 11. 24.	CA-2018-128531	75217	TEC-AC-10003023	Logitech	Logitech G105 Gaming Keyboard	-$2	2	Central	1667	$95	Consumer	2018. 11. 26.	Second Class	Texas	Accessories
31%	Office Supplies	Dallas	United States	NS-18505	Neola Schneider	0.2	1	2018. 11. 24.	CA-2018-128531	75217	OFF-PA-10000167	Xerox	Xerox 1925	$23	3	Central	1668	$74	Consumer	2018. 11. 26.	Second Class	Texas	Paper
11%	Office Supplies	Dallas	United States	NS-18505	Neola Schneider	0.2	1	2018. 11. 24.	CA-2018-128531	75217	OFF-AR-10003405	Dixon	Dixon My First Ticonderoga Pencil, #2	$2	3	Central	1669	$14	Consumer	2018. 11. 26.	Second Class	Texas	Art
-37%	Furniture	New York City	United States	MM-17920	Michael Moore	0.4	1	2017. 1. 10.	US-2017-157154	10011	FUR-TA-10001889	Bush	Bush Advantage Collection Racetrack Conference Table	-$373	4	East	1670	$1,018	Consumer	2017. 1. 15.	Standard Class	New York	Tables
31%	Technology	Houston	United States	RD-19480	Rick Duston	0.2	1	2019. 10. 19.	CA-2019-159457	77095	TEC-PH-10002185	Other	QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3	$5	3	Central	1671	$17	Consumer	2019. 10. 26.	Standard Class	Texas	Phones
33%	Technology	North Las Vegas	United States	RB-19645	Robert Barroso	0	1	2018. 3. 22.	CA-2018-107615	89031	TEC-AC-10001013	Logitech	Logitech ClearChat Comfort/USB Headset H390	$19	2	West	1672	$59	Corporate	2018. 3. 25.	First Class	Nevada	Accessories
38%	Technology	Plano	United States	RD-19585	Rob Dowd	0.2	1	2019. 7. 3.	CA-2019-111647	75023	TEC-PH-10002726	Other	netTALK DUO VoIP Telephone Service	$63	4	Central	1673	$168	Consumer	2019. 7. 7.	Standard Class	Texas	Phones
49%	Office Supplies	Suffolk	United States	SW-20455	Shaun Weien	0	1	2017. 12. 11.	CA-2017-150560	23434	OFF-LA-10003930	Other	Dot Matrix Printer Tape Reel Labels, White, 5000/Box	$96	2	South	1674	$197	Consumer	2017. 12. 12.	First Class	Virginia	Labels
-48%	Furniture	Houston	United States	SF-20965	Sylvia Foulston	0.6	1	2017. 9. 17.	CA-2017-143077	77041	FUR-FU-10003535	Howard Miller	Howard Miller Distant Time Traveler Alarm Clock	-$10	2	Central	1675	$22	Corporate	2017. 9. 21.	Standard Class	Texas	Furnishings
-155%	Office Supplies	Houston	United States	SF-20965	Sylvia Foulston	0.8	1	2017. 9. 17.	CA-2017-143077	77041	OFF-BI-10000088	GBC	GBC Imprintable Covers	-$10	3	Central	1676	$7	Corporate	2017. 9. 21.	Standard Class	Texas	Binders
25%	Office Supplies	San Francisco	United States	EB-13930	Eric Barreto	0	1	2018. 5. 18.	CA-2018-122728	94110	OFF-ST-10000604	Other	Home/Office Personal File Carts	$26	3	West	1677	$104	Consumer	2018. 5. 24.	Standard Class	California	Storage
49%	Office Supplies	San Francisco	United States	EB-13930	Eric Barreto	0	1	2018. 5. 18.	CA-2018-122728	94110	OFF-PA-10004040	Universal	Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)	$9	3	West	1678	$18	Consumer	2018. 5. 24.	Standard Class	California	Paper
-23%	Office Supplies	Philadelphia	United States	SB-20290	Sean Braxton	0.2	1	2016. 9. 7.	CA-2016-122882	19134	OFF-ST-10002344	Carina	"Carina 42""Hx23 3/4""W Media Storage Unit"	-$15	1	East	1679	$65	Corporate	2016. 9. 13.	Standard Class	Pennsylvania	Storage
13%	Technology	Philadelphia	United States	SB-20290	Sean Braxton	0.4	1	2016. 9. 7.	CA-2016-122882	19134	TEC-PH-10003589	Other	invisibleSHIELD by ZAGG Smudge-Free Screen Protector	$4	3	East	1680	$32	Corporate	2016. 9. 13.	Standard Class	Pennsylvania	Phones
20%	Furniture	Philadelphia	United States	SB-20290	Sean Braxton	0.2	1	2016. 9. 7.	CA-2016-122882	19134	FUR-FU-10000758	DAX	DAX Natural Wood-Tone Poster Frame	$8	2	East	1681	$42	Corporate	2016. 9. 13.	Standard Class	Pennsylvania	Furnishings
-140%	Technology	Philadelphia	United States	SB-20290	Sean Braxton	0.7	1	2016. 9. 7.	CA-2016-122882	19134	TEC-MA-10004679	Other	StarTech.com 10/100 VDSL2 Ethernet Extender Kit	-$559	4	East	1682	$400	Corporate	2016. 9. 13.	Standard Class	Pennsylvania	Machines
48%	Office Supplies	Los Angeles	United States	PS-18760	Pamela Stobb	0	1	2018. 9. 29.	US-2018-101497	90008	OFF-PA-10000176	Xerox	Xerox 1887	$9	1	West	1683	$19	Consumer	2018. 10. 1.	Second Class	California	Paper
42%	Furniture	San Francisco	United States	CB-12535	Claudia Bergmann	0	1	2018. 11. 7.	CA-2018-147585	94110	FUR-FU-10002597	C-Line	C-Line Magnetic Cubicle Keepers, Clear Polypropylene	$6	3	West	1684	$15	Corporate	2018. 11. 12.	Standard Class	California	Furnishings
13%	Office Supplies	Philadelphia	United States	DK-12835	Damala Kotsonis	0.2	1	2019. 4. 24.	CA-2019-149489	19143	OFF-AP-10002495	Acco	Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets	$12	2	East	1685	$99	Corporate	2019. 4. 27.	First Class	Pennsylvania	Appliances
-83%	Office Supplies	Philadelphia	United States	DK-12835	Damala Kotsonis	0.7	1	2019. 4. 24.	CA-2019-149489	19143	OFF-BI-10002813	Avery	Avery Reinforcements for Hole-Punch Pages	-$1	2	East	1686	$1	Corporate	2019. 4. 27.	First Class	Pennsylvania	Binders
-77%	Office Supplies	Philadelphia	United States	DK-12835	Damala Kotsonis	0.7	1	2019. 4. 24.	CA-2019-149489	19143	OFF-BI-10002414	GBC	GBC ProClick Spines for 32-Hole Punch	-$6	2	East	1687	$8	Corporate	2019. 4. 27.	First Class	Pennsylvania	Binders
35%	Office Supplies	Philadelphia	United States	AW-10840	Anthony Witt	0.2	1	2019. 12. 10.	CA-2019-143798	19140	OFF-PA-10000788	Xerox	Xerox 210	$4	2	East	1688	$10	Consumer	2019. 12. 12.	First Class	Pennsylvania	Paper
8%	Furniture	Philadelphia	United States	AW-10840	Anthony Witt	0.2	1	2019. 12. 10.	CA-2019-143798	19140	FUR-FU-10004306	Electrix	Electrix Halogen Magnifier Lamp	$23	2	East	1689	$311	Consumer	2019. 12. 12.	First Class	Pennsylvania	Furnishings
-27%	Furniture	Philadelphia	United States	TS-21610	Troy Staebel	0.4	1	2016. 8. 16.	CA-2016-142839	19143	FUR-TA-10001539	Chromcraft	Chromcraft Rectangular Conference Tables	-$227	6	East	1690	$853	Consumer	2016. 8. 20.	Standard Class	Pennsylvania	Tables
46%	Office Supplies	Indianapolis	United States	HF-14995	Herbert Flentye	0	1	2019. 12. 9.	CA-2019-129833	46203	OFF-PA-10000575	Wirebound	Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page	$15	5	Central	1691	$33	Consumer	2019. 12. 15.	Standard Class	Indiana	Paper
49%	Office Supplies	Indianapolis	United States	HF-14995	Herbert Flentye	0	1	2019. 12. 9.	CA-2019-129833	46203	OFF-BI-10004182	Other	Economy Binders	$5	5	Central	1692	$10	Consumer	2019. 12. 15.	Standard Class	Indiana	Binders
29%	Furniture	Columbus	United States	HZ-14950	Henia Zydlo	0.2	1	2018. 3. 14.	US-2018-154361	43229	FUR-FU-10004020	Advantus	Advantus Panel Wall Acrylic Frame	$6	5	East	1693	$22	Consumer	2018. 3. 19.	Standard Class	Ohio	Furnishings
26%	Technology	Plano	United States	AB-10255	Alejandro Ballentine	0.2	1	2018. 6. 26.	US-2018-158708	75023	TEC-AC-10003133	Memorex	Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive	$4	2	Central	1694	$14	Home Office	2018. 6. 29.	Second Class	Texas	Accessories
31%	Technology	Bayonne	United States	PO-19195	Phillina Ober	0	1	2017. 9. 25.	CA-2017-156335	07002	TEC-AC-10002006	Memorex	Memorex Micro Travel Drive 16 GB	$20	4	East	1695	$64	Home Office	2017. 9. 28.	Second Class	New Jersey	Accessories
49%	Office Supplies	Bayonne	United States	PO-19195	Phillina Ober	0	1	2017. 9. 25.	CA-2017-156335	07002	OFF-BI-10003314	Other	Tuff Stuff Recycled Round Ring Binders	$7	3	East	1696	$14	Home Office	2017. 9. 28.	Second Class	New Jersey	Binders
50%	Technology	Bayonne	United States	PO-19195	Phillina Ober	0	1	2017. 9. 25.	CA-2017-156335	07002	TEC-PH-10002726	Other	netTALK DUO VoIP Telephone Service	$52	2	East	1697	$105	Home Office	2017. 9. 28.	Second Class	New Jersey	Phones
29%	Office Supplies	Los Angeles	United States	AG-10900	Arthur Gainer	0	1	2017. 12. 27.	CA-2017-148376	90008	OFF-AP-10000240	Belkin	Belkin F9G930V10-GRY 9 Outlet Surge	$31	2	West	1698	$107	Consumer	2017. 12. 31.	Standard Class	California	Appliances
48%	Office Supplies	Los Angeles	United States	AG-10900	Arthur Gainer	0	1	2017. 12. 27.	CA-2017-148376	90008	OFF-LA-10002381	Avery	Avery 497	$10	7	West	1699	$22	Consumer	2017. 12. 31.	Standard Class	California	Labels
22%	Furniture	Seattle	United States	SC-20725	Steven Cartwright	0	1	2016. 6. 3.	CA-2016-135657	98115	FUR-TA-10004086	KI	KI Adjustable-Height Table	$113	6	West	1700	$516	Consumer	2016. 6. 7.	Second Class	Washington	Tables
36%	Office Supplies	New York City	United States	ND-18370	Natalie DeCherney	0.2	1	2017. 7. 13.	CA-2017-114069	10035	OFF-BI-10000320	GBC	GBC Plastic Binding Combs	$4	2	East	1701	$12	Consumer	2017. 7. 15.	Second Class	New York	Binders
17%	Furniture	New York City	United States	ND-18370	Natalie DeCherney	0.1	1	2017. 7. 13.	CA-2017-114069	10035	FUR-CH-10000595	SAFCO	Safco Contoured Stacking Chairs	$322	9	East	1702	$1,931	Consumer	2017. 7. 15.	Second Class	New York	Chairs
47%	Office Supplies	New York City	United States	ND-18370	Natalie DeCherney	0	1	2017. 7. 13.	CA-2017-114069	10035	OFF-PA-10000349	Easy-staple paper	Easy-staple paper	$5	2	East	1703	$10	Consumer	2017. 7. 15.	Second Class	New York	Paper
47%	Office Supplies	San Diego	United States	CD-12790	Cynthia Delaney	0	1	2016. 2. 2.	CA-2016-139857	92037	OFF-FA-10001843	Other	Staples	$6	5	West	1704	$12	Home Office	2016. 2. 6.	Standard Class	California	Fasteners
-73%	Office Supplies	Glendale	United States	PG-18820	Patrick Gardner	0.7	1	2018. 3. 8.	CA-2018-106306	85301	OFF-BI-10003676	GBC	GBC Standard Recycled Report Covers, Clear Plastic Sheets	-$7	3	West	1705	$10	Consumer	2018. 3. 8.	Same Day	Arizona	Binders
-80%	Office Supplies	Philadelphia	United States	IM-15070	Irene Maddox	0.7	1	2017. 11. 22.	CA-2017-100545	19120	OFF-BI-10003638	GBC	GBC Durable Plastic Covers	-$9	2	East	1706	$12	Consumer	2017. 11. 26.	Standard Class	Pennsylvania	Binders
47%	Office Supplies	San Francisco	United States	JK-15205	Jamie Kunitz	0	1	2019. 10. 30.	CA-2019-123491	94122	OFF-LA-10003077	Avery	Avery 500	$21	6	West	1707	$44	Consumer	2019. 11. 5.	Standard Class	California	Labels
11%	Technology	San Francisco	United States	JK-15205	Jamie Kunitz	0.2	1	2019. 10. 30.	CA-2019-123491	94122	TEC-PH-10003505	Other	Geemarc AmpliPOWER60	$17	2	West	1708	$148	Consumer	2019. 11. 5.	Standard Class	California	Phones
50%	Office Supplies	San Francisco	United States	JK-15205	Jamie Kunitz	0	1	2019. 10. 30.	CA-2019-123491	94122	OFF-PA-10003424	Other	"""While you Were Out"" Message Book, One Form per Page"	$4	2	West	1709	$7	Consumer	2019. 11. 5.	Standard Class	California	Paper
-1%	Furniture	San Francisco	United States	JK-15205	Jamie Kunitz	0.2	1	2019. 10. 30.	CA-2019-123491	94122	FUR-CH-10003061	Global	Global Leather Task Chair, Black	-$1	1	West	1710	$72	Consumer	2019. 11. 5.	Standard Class	California	Chairs
33%	Office Supplies	San Francisco	United States	JK-15205	Jamie Kunitz	0	1	2019. 10. 30.	CA-2019-123491	94122	OFF-AR-10003514	Other	4009 Highlighters by Sanford	$7	5	West	1711	$20	Consumer	2019. 11. 5.	Standard Class	California	Art
30%	Office Supplies	San Francisco	United States	JK-15205	Jamie Kunitz	0	1	2019. 10. 30.	CA-2019-123491	94122	OFF-AP-10002684	Acco	Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection	$511	14	West	1712	$1,702	Consumer	2019. 11. 5.	Standard Class	California	Appliances
35%	Office Supplies	Houston	United States	JP-15520	Jeremy Pistek	0.2	1	2017. 1. 30.	CA-2017-145401	77070	OFF-PA-10004405	REDIFORM	Rediform Voice Mail Log Books	$5	6	Central	1713	$14	Consumer	2017. 2. 4.	Standard Class	Texas	Paper
-74%	Furniture	Chicago	United States	MM-18055	Michelle Moray	0.5	1	2019. 9. 8.	US-2019-124968	60610	FUR-TA-10004289	Other	BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables	-$567	7	Central	1714	$766	Consumer	2019. 9. 13.	Second Class	Illinois	Tables
-5%	Furniture	San Francisco	United States	DC-13285	Debra Catini	0.15	1	2019. 10. 7.	CA-2019-104003	94110	FUR-BO-10003965	O'Sullivan	O'Sullivan Manor Hill 2-Door Library in Brianna Oak	-$14	2	West	1715	$308	Consumer	2019. 10. 13.	Standard Class	California	Bookcases
36%	Office Supplies	New York City	United States	JL-15835	John Lee	0.2	1	2018. 4. 30.	CA-2018-154788	10011	OFF-BI-10003314	Other	Tuff Stuff Recycled Round Ring Binders	$3	2	East	1716	$8	Consumer	2018. 5. 4.	Standard Class	New York	Binders
29%	Office Supplies	New York City	United States	BN-11515	Bradley Nguyen	0	1	2018. 5. 19.	CA-2018-169943	10011	OFF-AP-10001563	Belkin	Belkin Premiere Surge Master II 8-outlet surge protector	$70	5	East	1717	$243	Consumer	2018. 5. 24.	Standard Class	New York	Appliances
0%	Office Supplies	New York City	United States	BN-11515	Bradley Nguyen	0	1	2018. 5. 19.	CA-2018-169943	10011	OFF-ST-10004123	SAFCO	Safco Industrial Wire Shelving System	$0	5	East	1718	$455	Consumer	2018. 5. 24.	Standard Class	New York	Storage
42%	Furniture	New York City	United States	BN-11515	Bradley Nguyen	0	1	2018. 5. 19.	CA-2018-169943	10011	FUR-FU-10002088	Nu-Dell	Nu-Dell Float Frame 11 x 14 1/2	$15	4	East	1719	$36	Consumer	2018. 5. 24.	Standard Class	New York	Furnishings
31%	Furniture	New York City	United States	BN-11515	Bradley Nguyen	0	1	2018. 5. 19.	CA-2018-169943	10011	FUR-FU-10000010	DAX	DAX Value U-Channel Document Frames, Easel Back	$12	8	East	1720	$40	Consumer	2018. 5. 24.	Standard Class	New York	Furnishings
31%	Office Supplies	New York City	United States	BN-11515	Bradley Nguyen	0.2	1	2018. 5. 19.	CA-2018-169943	10011	OFF-BI-10002824	Other	Recycled Easel Ring Binders	$15	4	East	1721	$48	Consumer	2018. 5. 24.	Standard Class	New York	Binders
8%	Technology	Chicago	United States	KD-16345	Katherine Ducich	0.2	1	2017. 12. 20.	US-2017-123218	60623	TEC-PH-10001061	Apple	Apple iPhone 5C	$12	2	Central	1722	$160	Consumer	2017. 12. 25.	Standard Class	Illinois	Phones
20%	Technology	Chicago	United States	KD-16345	Katherine Ducich	0.2	1	2017. 12. 20.	US-2017-123218	60623	TEC-AC-10000736	Logitech	Logitech G600 MMO Gaming Mouse	$51	4	Central	1723	$256	Consumer	2017. 12. 25.	Standard Class	Illinois	Accessories
-20%	Furniture	Chicago	United States	KD-16345	Katherine Ducich	0.3	1	2017. 12. 20.	US-2017-123218	60623	FUR-BO-10003966	Sauder	Sauder Facets Collection Library, Sky Alder Finish	-$72	3	Central	1724	$359	Consumer	2017. 12. 25.	Standard Class	Illinois	Bookcases
10%	Office Supplies	Philadelphia	United States	JK-15370	Jay Kimmel	0.2	1	2017. 12. 19.	CA-2017-127453	19143	OFF-AP-10000828	Avanti	Avanti 4.4 Cu. Ft. Refrigerator	$43	3	East	1725	$434	Consumer	2017. 12. 20.	First Class	Pennsylvania	Appliances
13%	Office Supplies	Philadelphia	United States	JK-15370	Jay Kimmel	0.2	1	2017. 12. 19.	CA-2017-127453	19143	OFF-AP-10002906	Hoover	Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum	$0	2	East	1726	$4	Consumer	2017. 12. 20.	First Class	Pennsylvania	Appliances
9%	Office Supplies	Philadelphia	United States	JK-15370	Jay Kimmel	0.2	1	2017. 12. 19.	CA-2017-127453	19143	OFF-AP-10003860	Fellowes	Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection	$8	4	East	1727	$89	Consumer	2017. 12. 20.	First Class	Pennsylvania	Appliances
-7%	Furniture	Dublin	United States	FM-14215	Filia McAdams	0.4	1	2019. 4. 29.	US-2019-164056	43017	FUR-TA-10001307	SAFCO	SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black	-$70	5	East	1728	$1,048	Corporate	2019. 5. 4.	Second Class	Ohio	Tables
21%	Technology	Springfield	United States	CA-12265	Christina Anderson	0	1	2018. 2. 7.	CA-2018-106894	22153	TEC-AC-10003063	Micro Innovations	Micro Innovations USB RF Wireless Keyboard with Mouse	$21	4	South	1729	$100	Consumer	2018. 2. 7.	Same Day	Virginia	Accessories
46%	Office Supplies	Springfield	United States	CA-12265	Christina Anderson	0	1	2018. 2. 7.	CA-2018-106894	22153	OFF-LA-10001045	Universal	Permanent Self-Adhesive File Folder Labels for Typewriters by Universal	$4	3	South	1730	$8	Consumer	2018. 2. 7.	Same Day	Virginia	Labels
33%	Office Supplies	Fayetteville	United States	KD-16495	Keith Dawkins	0.2	1	2016. 9. 28.	CA-2016-125136	28314	OFF-PA-10001457	Other	White GlueTop Scratch Pads	$31	8	South	1731	$96	Corporate	2016. 10. 3.	Standard Class	North Carolina	Paper
35%	Office Supplies	Fayetteville	United States	KD-16495	Keith Dawkins	0.2	1	2016. 9. 28.	CA-2016-125136	28314	OFF-PA-10001804	Xerox	Xerox 195	$4	2	South	1732	$11	Corporate	2016. 10. 3.	Standard Class	North Carolina	Paper
-10%	Office Supplies	Dallas	United States	LH-17155	Logan Haushalter	0.2	1	2018. 7. 10.	US-2018-131149	75081	OFF-ST-10000689	Fellowes	Fellowes Strictly Business Drawer File, Letter/Legal Size	-$34	3	Central	1733	$338	Consumer	2018. 7. 14.	Standard Class	Texas	Storage
11%	Office Supplies	Dallas	United States	LH-17155	Logan Haushalter	0.2	1	2018. 7. 10.	US-2018-131149	75081	OFF-AR-10002135	Boston	Boston Heavy-Duty Trimline Electric Pencil Sharpeners	$17	4	Central	1734	$154	Consumer	2018. 7. 14.	Standard Class	Texas	Art
19%	Office Supplies	Jacksonville	United States	AG-10675	Anna Gayman	0.2	1	2019. 7. 29.	CA-2019-101483	28540	OFF-AP-10002082	Holmes	Holmes HEPA Air Purifier	$7	2	South	1735	$35	Consumer	2019. 8. 1.	Second Class	North Carolina	Appliances
6%	Technology	Jacksonville	United States	AG-10675	Anna Gayman	0.2	1	2019. 7. 29.	CA-2019-101483	28540	TEC-PH-10003442	Samsung	Samsung Replacement EH64AVFWE Premium Headset	$1	5	South	1736	$22	Consumer	2019. 8. 1.	Second Class	North Carolina	Phones
9%	Office Supplies	Jacksonville	United States	AG-10675	Anna Gayman	0.2	1	2019. 7. 29.	CA-2019-101483	28540	OFF-AR-10002833	Newell	Newell 322	$0	3	South	1737	$4	Consumer	2019. 8. 1.	Second Class	North Carolina	Art
27%	Office Supplies	San Francisco	United States	DB-13120	David Bremer	0	1	2017. 9. 3.	CA-2017-130204	94122	OFF-ST-10001325	Sterilite	Sterilite Officeware Hinged File Box	$8	3	West	1738	$31	Corporate	2017. 9. 9.	Standard Class	California	Storage
